City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Noblesville,US,1592584415,0,45,40.05,-86.01,88.0,1.01
Cabo San Lucas,MX,1592583924,5,45,22.89,-109.91,93.2,3.36
George Town,MY,1592583915,20,94,5.41,100.34,80.6,2.08
Punta Arenas,CL,1592584510,90,100,-53.15,-70.92,33.8,12.75
Ponta do Sol,PT,1592583915,40,73,32.67,-17.1,71.6,13.87
Den Helder,NL,1592584511,75,72,52.96,4.76,73.0,11.41
Touros,BR,1592584511,90,100,-5.2,-35.46,75.2,11.41
Krasnosel'kup,RU,1592584507,85,49,65.7,82.47,50.54,13.73
Saskylakh,RU,1592584511,36,48,71.92,114.08,68.56,6.78
Sittwe,MM,1592584511,83,82,20.15,92.9,82.65,9.64
Mayo,US,1592584512,75,83,38.89,-76.51,79.0,11.41
Cape Town,ZA,1592584387,0,48,-33.93,18.42,73.0,14.99
Ushuaia,AR,1592584388,90,93,-54.8,-68.3,35.6,4.7
Villa Carlos Paz,AR,1592584512,43,34,-31.42,-64.5,64.99,24.16
Albany,US,1592584512,35,65,42.6,-73.97,86.0,5.73
Bambous Virieux,MU,1592584512,75,68,-20.34,57.76,72.0,14.99
Coahuayana Viejo,MX,1592584512,40,57,18.73,-103.68,80.6,4.38
Cherskiy,RU,1592584512,63,44,68.75,161.3,71.8,1.95
Oriximiná,BR,1592584224,9,57,-1.77,-55.87,87.89,7.85
Paita,PE,1592584513,0,65,-5.09,-81.11,77.0,13.87
Bakchar,RU,1592584513,46,84,57.02,82.07,42.13,3.04
Pevek,RU,1592584513,18,66,69.7,170.31,42.15,4.07
Kjøllefjord,NO,1592584513,90,75,70.95,27.35,44.6,20.8
Piranhas,BR,1592584513,98,38,-16.43,-51.82,85.42,8.16
Mar del Plata,AR,1592584314,99,76,-38.0,-57.56,62.01,17.22
Dikson,RU,1592584383,0,89,73.51,80.55,34.39,6.53
Touba,CI,1592584514,100,77,8.28,-7.68,80.64,4.09
Bathsheba,BB,1592584314,75,83,13.22,-59.52,82.4,13.87
Mataura,NZ,1592584514,100,83,-46.19,168.86,39.0,3.0
Busselton,AU,1592584515,31,75,-33.65,115.33,46.0,9.46
Alofi,NU,1592583710,2,77,-19.06,-169.92,68.0,5.82
Salalah,OM,1592583948,75,94,17.02,54.09,82.4,5.82
Praia da Vitória,PT,1592584515,75,68,38.73,-27.07,69.8,8.21
Maumere,ID,1592583968,59,81,-8.62,122.21,79.68,10.56
Maceió,BR,1592583844,75,65,-9.67,-35.74,82.4,21.92
Oranjemund,NA,1592584516,0,43,-28.55,16.43,67.26,8.19
Khovd,MN,1592583954,100,27,48.01,91.64,67.5,4.7
Hīt,IQ,1592584368,0,14,33.64,42.83,88.43,9.33
Tuktoyaktuk,CA,1592584517,90,87,69.45,-133.04,42.8,6.93
Ingham,US,1592584373,1,39,42.6,-84.38,84.2,3.36
Doha,QA,1592584517,0,59,25.29,51.53,98.6,9.17
Ribeira Grande,PT,1592584517,75,77,38.52,-28.7,69.8,16.11
Thompson,CA,1592583917,90,93,55.74,-97.86,41.0,8.05
Pisco,PE,1592583740,75,68,-13.7,-76.22,68.0,11.41
Taltal,CL,1592584382,24,55,-25.4,-70.48,65.19,3.87
Port Alfred,ZA,1592584518,0,53,-33.59,26.89,63.0,9.98
Rikitea,PF,1592584297,100,89,-23.12,-134.97,73.35,17.65
Kapaa,US,1592584345,40,78,22.08,-159.32,77.0,18.34
Pombas,CV,1592584519,40,58,17.15,-25.02,82.4,28.86
Mexico,PH,1592584519,75,83,15.06,120.72,77.0,3.36
Jamestown,US,1592584505,75,60,42.1,-79.24,81.0,4.7
Avarua,CK,1592584519,18,64,-21.21,-159.78,71.6,5.82
Qaanaaq,GL,1592584519,90,81,77.48,-69.36,36.0,2.39
Banda Aceh,ID,1592584162,80,78,5.56,95.32,80.85,7.94
Katsuura,JP,1592583928,75,88,35.13,140.3,68.0,10.29
Nanortalik,GL,1592583974,100,86,60.14,-45.24,40.14,6.78
Saint George,US,1592584265,1,17,37.1,-113.58,79.0,5.82
Hermanus,ZA,1592584520,0,66,-34.42,19.23,64.09,9.6
Codrington,AU,1592583960,78,83,-38.27,141.97,51.64,12.8
Lamu,KE,1592584520,52,79,-2.27,40.9,77.85,17.74
Nur-Sultan,KZ,1592584393,73,41,51.18,71.45,57.2,6.71
Upernavik,GL,1592584521,3,81,72.79,-56.15,36.81,10.2
Khanpur,PK,1592584463,0,18,28.65,70.66,105.87,17.0
Portland,US,1592583681,75,68,45.52,-122.68,68.0,2.77
Barrow,US,1592584521,90,93,71.29,-156.79,35.6,12.75
Kaitangata,NZ,1592584521,100,81,-46.28,169.85,41.0,8.99
Puerto Ayora,EC,1592584521,20,69,-0.74,-90.35,77.0,19.46
Ayan,RU,1592583958,60,91,56.45,138.17,42.37,3.31
Burnie,AU,1592584522,96,78,-41.07,145.92,55.99,7.0
Āsasa,ET,1592584522,50,73,7.1,39.2,58.37,1.79
Karratha,AU,1592584243,0,45,-20.74,116.85,71.78,6.26
Kamenka,RU,1592584522,5,52,51.32,42.77,79.0,9.69
Fortuna,US,1592584234,20,87,40.6,-124.16,62.01,3.36
Vila,PT,1592583966,0,63,42.03,-8.16,75.0,9.17
Arganil,PT,1592584522,0,55,40.22,-8.05,72.0,5.01
Santiago de María,SV,1592584522,28,62,13.48,-88.47,89.6,2.13
Honningsvåg,NO,1592584523,40,65,70.98,25.97,46.4,10.29
Port Keats,AU,1592584523,68,54,-14.25,129.55,72.59,8.16
Andenes,NO,1592584523,0,70,69.31,16.12,48.2,14.99
San Cristobal,VE,1592583971,40,52,7.77,-72.22,87.8,29.97
Saint-Philippe,RE,1592584523,98,68,-21.36,55.77,71.6,25.28
Saint Paul Harbor,US,1592584523,90,87,57.79,-152.41,48.2,5.1
Dudinka,RU,1592583925,75,76,69.41,86.18,48.2,17.9
Penzance,GB,1592584342,20,82,50.12,-5.54,64.0,11.41
Lüderitz,NA,1592583639,0,21,-26.65,15.16,80.6,9.17
Srednekolymsk,RU,1592584337,0,36,67.45,153.68,72.68,6.96
Batesville,US,1592584524,1,51,35.77,-91.64,86.0,9.17
Fukuechō,JP,1592584524,25,76,32.69,128.84,71.44,18.05
Bredasdorp,ZA,1592583925,0,63,-34.53,20.04,62.6,2.53
Rassvet,RU,1592584524,99,47,46.83,40.75,75.11,14.79
Mahébourg,MU,1592583950,75,68,-20.41,57.7,71.6,14.99
Egvekinot,RU,1592584525,100,50,66.32,-179.17,52.2,2.3
Hobart,AU,1592584069,90,87,-42.88,147.33,44.6,5.82
Pacific Grove,US,1592584525,90,82,36.62,-121.92,57.2,4.7
Altus,US,1592584525,75,51,34.64,-99.33,86.0,10.29
Ko Samui,TH,1592584525,20,74,9.54,99.94,84.2,15.75
Mukhen,RU,1592584525,10,95,48.1,136.1,44.62,0.96
San Patricio,MX,1592584306,5,78,19.22,-104.7,82.4,9.17
Westport,US,1592583977,1,65,41.14,-73.36,81.0,10.29
Hilo,US,1592584412,40,83,19.73,-155.09,73.4,5.82
Byron Bay,AU,1592584149,75,100,-28.65,153.62,57.2,5.82
Gogrial,SS,1592584526,100,76,8.53,28.1,78.03,3.96
Nautanwa,IN,1592584526,100,88,27.43,83.42,79.25,5.77
Kurchum,KZ,1592584526,24,37,48.57,83.65,68.32,0.45
Ketchikan,US,1592583671,90,100,55.34,-131.65,55.4,5.82
Hithadhoo,MV,1592584527,97,70,-0.6,73.08,84.52,3.6
Torbay,CA,1592584311,90,87,47.67,-52.73,59.0,12.75
Kropotkin,RU,1592584527,96,80,45.44,40.58,66.0,4.32
Yar-Sale,RU,1592583947,16,60,66.83,70.83,44.67,12.93
Myrhorod,UA,1592584527,95,79,49.97,33.61,71.98,15.03
Boca do Acre,BR,1592584527,1,67,-8.75,-67.4,86.43,0.81
Eldorado,BR,1592584527,0,52,-23.79,-54.28,81.18,10.96
Qasigiannguit,GL,1592584527,40,26,68.82,-51.19,57.2,18.34
Bilma,NE,1592584528,3,9,18.69,12.92,104.5,7.11
Fort Nelson,CA,1592583708,40,72,58.81,-122.7,66.2,3.36
Cidreira,BR,1592584284,88,83,-30.18,-50.21,63.63,7.99
Udachny,RU,1592584528,70,62,66.42,112.4,61.54,8.66
Okakarara,NA,1592584528,0,38,-20.58,17.43,53.71,7.11
Broken Hill,AU,1592583952,90,47,-31.95,141.43,59.0,10.29
Seymchan,RU,1592584393,35,75,62.88,152.43,57.9,3.94
Korla,CN,1592583935,25,39,41.76,86.15,73.63,14.5
El Dorado,US,1592584529,1,58,33.21,-92.67,84.2,4.7
Vaini,TO,1592584529,20,83,-21.2,-175.2,73.4,9.17
Maposeni,TZ,1592584529,20,49,-10.58,35.4,73.4,8.05
Santa Margherita Ligure,IT,1592584529,8,73,44.33,9.21,72.0,1.01
Yulara,AU,1592583933,0,54,-25.24,130.99,53.6,9.17
Mossamedes,AO,1592583956,56,48,-15.2,12.15,86.0,17.22
Norman Wells,CA,1592584529,75,72,65.28,-126.83,66.2,8.05
Palestine,PS,1592584529,40,69,31.92,35.2,78.01,13.87
Tasiilaq,GL,1592584530,75,93,65.61,-37.64,41.0,13.87
Koutiala,ML,1592584530,58,29,12.39,-5.46,97.0,7.65
Okhotsk,RU,1592583931,57,95,59.38,143.3,43.2,4.23
Banjar,ID,1592584530,75,94,-8.19,114.97,82.4,11.41
Port Augusta,AU,1592584530,0,81,-32.5,137.77,48.99,8.05
Timbó,BR,1592584530,11,1,-26.82,-49.27,84.99,2.19
Hong Kong,HK,1592583948,90,74,22.29,114.16,84.0,7.52
Cândido Mendes,BR,1592584530,8,68,-1.45,-45.72,84.87,7.67
St. George's,GD,1592584409,20,70,12.06,-61.75,87.8,23.04
New Norfolk,AU,1592584240,100,87,-42.78,147.06,46.99,0.65
Faanui,PF,1592583934,19,78,-16.48,-151.75,80.11,6.44
Zyryanka,RU,1592584531,0,45,65.75,150.85,69.6,2.06
Pangnirtung,CA,1592583948,90,100,66.15,-65.71,35.6,10.29
Bethel,US,1592584506,20,54,41.37,-73.41,81.0,6.93
Murmashi,RU,1592584532,75,81,68.82,32.81,44.6,8.95
Pilot Butte,CA,1592584532,75,66,50.47,-104.42,51.8,2.24
Mount Gambier,AU,1592583976,90,93,-37.83,140.77,48.2,10.29
Geraldton,AU,1592584267,0,71,-28.77,114.6,51.8,6.93
Baley,RU,1592584533,30,77,51.6,116.63,50.38,1.61
Bida,NG,1592584533,96,67,9.08,6.02,85.1,1.25
Revelstoke,CA,1592584533,75,77,50.98,-118.2,59.0,1.7
Margate,GB,1592584359,54,63,51.38,1.39,66.99,5.99
Alice,US,1592584533,75,78,27.75,-98.07,86.0,10.29
Ukiah,US,1592584201,1,49,39.15,-123.21,75.0,2.73
Olinda,BR,1592584357,75,78,-8.01,-34.86,82.4,13.87
Hasaki,JP,1592583963,40,93,35.73,140.83,64.4,5.82
Ivolginsk,RU,1592584534,40,67,51.75,107.28,62.6,4.47
Santiago del Estero,AR,1592584534,22,38,-27.8,-64.26,76.87,12.48
Douglas,US,1592584534,40,73,41.3,-96.17,71.01,3.36
Kavaratti,IN,1592584534,100,78,10.57,72.64,84.31,13.44
Chokurdakh,RU,1592584534,45,34,70.63,147.92,76.57,4.41
Roebourne,AU,1592584534,0,47,-20.78,117.13,71.47,5.06
Aklavik,CA,1592583935,90,81,68.22,-135.01,51.8,11.41
Lorengau,PG,1592584383,5,74,-2.02,147.27,82.31,4.72
Henties Bay,NA,1592584535,0,36,-22.12,14.28,78.01,9.98
Santa Maria,BR,1592584535,75,73,-29.68,-53.81,73.4,5.82
Raja,SS,1592584535,100,89,8.46,25.68,73.0,1.74
Aginskoye,RU,1592584535,25,41,51.1,114.53,56.17,5.53
Port Shepstone,ZA,1592584535,0,78,-30.74,30.45,63.73,14.74
East London,ZA,1592584536,0,48,-33.02,27.91,67.62,8.14
Mochudi,BW,1592584536,0,36,-24.42,26.15,60.8,3.36
Madang,PG,1592584536,42,87,-5.22,145.8,77.74,2.06
Berlevåg,NO,1592584536,90,75,70.86,29.09,44.6,20.8
Pittsburg,US,1592584362,1,56,38.03,-121.88,77.0,8.05
Tiarei,PF,1592584536,20,88,-17.53,-149.33,75.2,3.36
Butaritari,KI,1592584536,77,71,3.07,172.79,81.79,3.04
Acapulco de Juárez,MX,1592584512,40,74,16.86,-99.89,82.4,5.82
Tezu,IN,1592584537,27,77,27.92,96.17,78.24,3.15
Curaçá,BR,1592584537,16,43,-8.99,-39.91,86.9,14.7
Atuona,PF,1592584537,38,76,-9.8,-139.03,80.24,15.48
Carballo,ES,1592584537,14,61,43.21,-8.69,71.01,5.99
Namatanai,PG,1592584537,14,81,-3.67,152.43,79.54,4.0
Severo-Kuril'sk,RU,1592584537,100,92,50.68,156.12,41.41,16.31
Bluff,NZ,1592584537,100,83,-46.6,168.33,39.0,3.0
Asău,RO,1592583977,47,69,46.43,26.4,73.0,2.95
Broome,US,1592584300,75,64,42.25,-75.83,79.0,3.67
Villamontes,BO,1592584538,0,34,-21.25,-63.5,88.5,5.57
São Filipe,CV,1592584538,0,72,14.9,-24.5,78.26,11.01
Lavrentiya,RU,1592583978,6,52,65.58,-171.0,49.39,9.93
Morehead,US,1592584506,1,54,37.27,-87.18,86.0,4.7
Reidsville,US,1592584424,40,69,36.35,-79.66,79.0,5.12
Tutóia,BR,1592584538,54,62,-2.76,-42.27,86.29,9.98
Chui,UY,1592584539,38,60,-33.7,-53.46,62.76,7.58
Soyo,AO,1592584346,20,65,-6.13,12.37,82.4,8.05
Promyshlennyy,RU,1592584539,100,85,67.58,63.92,45.59,15.19
Nuenen,NL,1592584539,75,49,51.47,5.55,73.99,10.29
Arraial do Cabo,BR,1592583855,71,54,-22.97,-42.03,82.4,3.36
Caniço,PT,1592584539,40,73,32.63,-16.85,71.6,13.87
Morón,AR,1592584186,75,87,-34.65,-58.62,60.01,4.7
Naze,JP,1592583688,90,88,28.37,129.48,78.8,5.82
Vostok,RU,1592583962,27,100,46.49,135.88,42.94,1.14
Dzaoudzi,YT,1592584262,100,69,-12.79,45.27,78.8,17.22
Jiazi,CN,1592584540,94,86,22.88,116.07,81.46,7.9
Minot,US,1592584350,75,48,48.23,-101.3,63.0,14.99
Arlit,NE,1592584301,22,9,18.74,7.39,106.63,1.36
Padang,ID,1592584541,100,78,-0.95,100.35,78.98,3.76
Ahipara,NZ,1592584541,100,85,-35.17,173.17,56.62,12.71
Lata,PT,1592583975,0,55,40.16,-8.33,72.0,5.01
Noumea,NC,1592584541,75,88,-22.28,166.46,66.2,6.93
Abonnema,NG,1592584541,75,63,4.71,6.79,91.4,6.93
Sisimiut,GL,1592584264,11,61,66.94,-53.67,45.5,10.74
Khatanga,RU,1592584541,53,64,71.97,102.5,54.93,15.1
Port Hardy,CA,1592584311,75,93,50.7,-127.42,60.8,3.36
Mildura,AU,1592583977,90,71,-34.2,142.15,51.8,3.36
São José da Coroa Grande,BR,1592583951,85,84,-8.9,-35.15,78.21,15.5
Sarkhej,IN,1592584542,20,70,22.98,72.5,89.6,11.41
Fort Saint James,CA,1592584542,98,47,54.43,-124.25,69.62,5.37
Sinnamary,GF,1592584360,32,71,5.38,-52.95,84.11,9.53
Lichuan,CN,1592584542,97,94,30.3,108.85,61.63,3.62
Kargasok,RU,1592584343,86,95,59.06,80.86,40.23,7.63
Kalmunai,LK,1592583964,99,74,7.42,81.82,84.78,3.71
Woodward,US,1592584317,90,93,36.43,-99.39,68.0,11.41
São João da Barra,BR,1592583958,100,54,-21.64,-41.05,84.2,11.41
Pangoa,PE,1592584543,3,50,-12.12,-73.0,84.69,3.13
Belaya Gora,RU,1592584346,43,40,68.53,146.42,72.59,3.78
Buckeye,US,1592584516,1,22,33.37,-112.58,91.0,6.93
Lodeynoye Pole,RU,1592584543,7,65,60.73,33.55,65.93,11.9
Nikolskoye,RU,1592584544,40,50,59.7,30.79,75.2,11.18
Longyearbyen,SJ,1592584544,40,80,78.22,15.64,41.0,17.22
Fairbanks,US,1592584231,90,93,64.84,-147.72,57.2,1.79
Kunming,CN,1592584545,40,93,25.04,102.72,68.0,13.42
Carnarvon,AU,1592584545,0,93,-24.87,113.63,59.0,5.82
Laas,IT,1592584545,40,87,46.62,10.7,48.2,4.7
Las Vegas,US,1592584357,1,9,36.17,-115.14,86.0,4.43
Dinkelsbühl,DE,1592584546,1,68,49.07,10.32,68.0,7.14
Souillac,MU,1592584546,75,68,-20.52,57.52,71.6,14.99
Forbes,AU,1592584547,99,76,-33.38,148.02,55.99,3.0
Nowy Targ,PL,1592584547,75,88,49.48,20.03,68.0,3.36
Vardø,NO,1592584297,96,79,70.37,31.11,43.9,23.91
Port Elizabeth,ZA,1592584275,0,55,-33.92,25.57,60.8,2.24
Bam,IR,1592584548,57,11,29.11,58.36,91.87,2.21
Guerrero Negro,MX,1592584273,3,61,27.98,-114.06,69.55,15.19
Chapais,CA,1592584548,1,35,49.78,-74.85,86.0,11.41
Solnechnyy,RU,1592584363,100,91,50.72,136.63,47.19,5.23
Sawtell,AU,1592584548,90,93,-30.38,153.1,55.99,5.14
Qorveh,IR,1592584548,0,25,35.17,47.8,66.94,6.76
Los Llanos de Aridane,ES,1592584313,20,65,28.66,-17.92,78.8,13.87
Mgandu,TZ,1592584549,96,54,-5.95,34.13,69.12,6.26
Lompoc,US,1592584549,90,87,34.64,-120.46,60.8,3.36
Hambantota,LK,1592583976,20,79,6.12,81.12,84.2,8.05
Kunya,NG,1592584549,75,83,12.22,8.53,73.4,14.99
San Quintín,MX,1592584392,80,62,30.48,-115.95,66.02,8.23
Phek,IN,1592584550,100,100,25.67,94.5,64.87,0.22
Yellowknife,CA,1592584397,20,58,62.46,-114.35,59.0,16.11
